name,price,status,shipping,free_returns,items_sold
"HP Chromebook 11 G7 11.6"" Intel 2.60 GHz 4 GB RAM 32 GB eMMC Bluetooth Webcam SD",7599,Very Good - Refurbished,0,True,851
Dell Chromebook 3100 2in1 Touch Screen Intel Celeron 4GB RAM 32GB Touchscreen !!,4628,32 GB,0,False,563
ASUS - Zenbook S 16 163K OLED Touch Screen Laptop - Copilot+ PC - AMD Ryzen...,149999,ASUS,0,False,291
"HP ProBook x360 11 G5 Laptop Celeron N4020 4GB 64GB 11.6"" Touch W11 Pro 2 in 1 !",7999,64 GB,0,True,372
"New ListingHP Omen 15 Gaming Laptop --I7, 64GB RAM, RTX 2070",60000,512 GB,987,False,
"2026 Newest HP Laptop 14"" Quad-Core Intel Processor Up to 16GB RAM 628GB Storage",29900,Brand New,0,True,
"ASUS - Vivobook 14 14"" FHD Laptop - Intel Core 5 120U with 8GB Memory - 256GB...",52999,ASUS,0,False,485
2026 Dell Inspiron Laptop 15 Touch 10-Core Intel i5 Upto 64GB RAM 2TB SSD WinPRO,47900,Brand New,0,True,
"Lenovo ThinkPad 13.3"" 16GB 512GB, Black",22999,512 GB,0,True,21
Dell Latitude 14 Rugged 7424 Laptop  i5-8350U 16GB 1TB ORANGE TOUCH  IP 65 RATED,84444,1 TB,1899,False,
2026 HP Laptop 15 AMD Ryzen 7 Upto 4.5 GHz 64GB RAM & 2TB SSD Office Touchscreen,48900,Brand New,0,True,
"HP Laptop Computer 15.6"" Touchscreen 13th Gen Intel i3, Up to 32GB RAM & 1TB SSD",39900,Brand New,0,True,
New ListingLenovo Thinkpad 12th Gen I7-1206 16GB RAM 512GB SSD Win 11 Pro Laptop Computer,52000,512 GB,912,False,
"2026 ASUS Vivobook Laptop 16"" Intel i7-1355U, Up to 40GB RAM 2TB SSD, Win 11 Pro",49900,Brand New,0,True,
"HP 17.3"" FHD Business Laptop, Intel i7-1355U, 16GB RAM, 2TB Storage",24500,2 TB,0,True,
"Dell 5520 15.6"" Touch Light Gaming Laptop Intel Core i5 4.40GHz 64GB RAM 2TB SSD",29899,Excellent - Refurbished,0,True,
"Lenovo 100e 2nd Gen 11.6"" AMD 3015e @ 1.20GHz 4GB RAM 64GB Win11Pro LAPTOP.",4999,64 GB,0,False,74
"New ListingDell Inspiron 16 7620 2-in-1 Laptop, i7-1260P, 16GB RAM, 477GB SSD, NVIDIA",28000,477 GB,814,False,
"Dell Latitude 3190 2 in 1 11.6"" Intel N5030 @1.10GHz 4GB 128GB SSD ***",6700,128 GB,0,False,162
"~OVERSTOCK~ 14"" HP ProBook Laptop: Intel i5! 8GB RAM - 1 TB Storage! Windows 10!",17595,1 TB,0,True,223
"New ListingHP Elitebook 850 G3 15” Core  i5-6300U @2.40GHz, 8GB RAM, 256GB SSD, Win 11 Cord",9000,256 GB,,False,
"2026 HP Laptop Computer 17.3"" 10-Core Intel i7 Upto 64GB RAM 2TB SSD Office 2024",56900,Brand New,0,True,
"Dell Latitude 3189 11.6"" 2-in-1 Touch Laptop Celeron 4GB 64GB SSD Windows 11 !!",8500,64 GB,0,True,238
"HP Chromebook X360 11 G1 EE N3350 1.1ghz 4GB 32GB 11.6"" Touch 2-in-1 Laptop READ",3800,32 GB,0,False,131
"~OVERSTOCK SALE~ 15.6"" FHD DELL Laptop PC: i7-8665U (16GB RAM, 256GB NVME SSD)",32438,Dell,0,True,13
Auusda laptop 15.6'' Intel Alder N95 16GB RAM 1TB SSD W11 PRO Silver Fingerprint,47499,Brand New,0,True,
Dell Latitude 5440 14” FHD Laptop Core i5 13th Gen 16GB RAM 512GB SSD Win 11 Pro,43261,Dell,0,True,
"15.6"" FHD DELL Latitude Laptop: i7-8665U 8GB RAM, 256GB NVME SSD! Windows 11 Pro",27080,Dell,0,True,
"New ListingLenovo LOQ Gaming Laptop Intel Core i5 RTX 5050 16GB RAM 512GB SSD 15.6""",65000,Lenovo,1942,False,
"Dell Latitude 14"" FHD Laptop Quad-Core i7 4.2GHz 16GB RAM 256GB SSD Windows 11",25562,Dell,0,True,194
"Dell Latitude 7390 13.3"" Touch 2-in-1 Laptop Core i7 16GB RAM 512GB SSD Win 11",30374,Dell,0,True,192
Panasonic  CF-31   MK5  5th GEN Core i5  WIN11 PRO  16GB 500GB SSD WWAN  BLACK,37777,500 GB,1899,False,
"Lenovo IdeaPad Slim 3x 15.3"" Touch Snapdragon X 16GB 1TB SSD GRAY 83N30010US",39900,Lenovo,0,True,
"Lenovo Yoga Book YB1-X90F 10.1"" Atom x5-Z8550 2.4GHz 4GB RAM 64GB SSD",6000,Lenovo,0,False,88
Dell Latitude 7420 Laptop 14” FHD Core i7 4.8GHz 16GB RAM 256GB SSD Win 11 Pro,34292,Dell,0,True,226
Dell Latitude 14 Rugged 7424 Laptop  i5-8350U 16GB 1TB BLACK TOUCH  IP 65 RATED,84444,1 TB,1899,False,
"ASUS Vivobook 14"" FHD Laptop Intel Core i7-1355U 12GB RAM 512GB SSD - NEW",40500,Brand New,0,True,
"Lenovo Chromebook 300e 2nd Gen 2-in-1 11.6"" Touch 4GB 32GB X2 1.1GHz, Black",4900,32 GB,0,False,44
"Acer TravelMate B118-M , N4000 4GB Ram 64GB SSD   NO Windows installed.",3400,64 GB,0,False,79
HP Laptop Computer PC Workstation Gaming Core I7 32GB 1TB Windows 11 PRO OFFICE!,25999,Pre-Owned,0,False,
"NIMO 15.6"" FHD Ryzen 7 7735HS 16GB 1TB SSD Radeon 680M Gaming Laptop",20000,1 TB,0,False,
"HP EliteBook 845 G10 14"" Laptop, Ryzen 5 Pro 7, 16GB, 512GB SSD, Win11 Pro",39999,512 GB,0,True,
Laptop Dell Latitude E7470 14 Core i5-6300U 8GB RAM,8000,Dell,0,False,
"HP OMEN - 16"" 2K 144Hz Gaming Laptop - AMD Ryzen 9 8940HX 2025 - 32GB DDR5 Me...",221999,HP,0,False,322
Dell Latitude 5330 13.3” Laptop Core i5 12th Gen 16GB RAM 512GB SSD Win 11 Pro,29521,Dell,0,True,
"ASUS Vivobook FHD 15.6"" Laptop, Intel Core 5 120U, 16GB RAM, 512 GB SSD, Backlit",34888,512 GB,0,False,17
"Dell Chromebook 3100 (11.6"", Intel Celeron, 4GB RAM, 16GB, ChromeOS)  NO Charger",2599,Dell,0,False,917
CLEARANCE~ 11.6 HP Pro Fortis G9 Laptop PC: TouchScreen! Webcam! Windows 11 Pro!,11995,1 TB,0,True,15
"Lenovo Chromebook 500e Gen 3 2in1 Tablet 11"" Touchscreen 8GB / 64GB A Grade",6600,64 GB,0,False,86
"Acer Aspire 14"" Laptop CoreUltra9 32GB RAM 1TB SSD ARC 140V A14-52MT Refurbished",69999,Acer,0,True,66
"Lenovo ThinkPad T480s 14"" Laptop i5 8th Gen 256gb NVME 16GB RAM Win 11 Pro FHD",29999,256 GB,0,True,1045
"Acer Aspire 16 Laptop 16"" WUXGA Snapdragon X Plus 16GB RAM 512GB SSD Refurbished",40999,Acer,0,True,
"New ListingLenovo Gray Notebook Laptop, Damaged Screen, Sleek Design, Portable Computer",30000,Lenovo,0,False,
"HP 14-fe0013dx 14"" Touch Snapdragon X Elite X1E-78-100 16GB 1TB SSD W11H Laptop",42299,HP,0,False,
